"age_group","sex","punkt","mean_4ch","conf.low_4ch","conf.high_4ch","mean_2ch","conf.low_2ch","conf.high_2ch","mean_3ch","conf.low_3ch","conf.high_3ch"
"55-59","Male",19,-16.2520649715837,-19.793343441053,-12.7107865021143,-17.2499047307365,-21.8267924547351,-12.6730170067379,-16.9018735966794,-21.7615836585121,-12.0421635348467
"55-59","Male",20,-17.0304174011281,-20.6055144337803,-13.455320368476,-18.0779143338655,-22.7155100625179,-13.440318605213,-17.7753153254151,-22.7325842250733,-12.8180464257568
"55-59","Male",21,-17.6482564290123,-21.2548065918996,-14.0417062661251,-18.7490016933802,-23.4314385847139,-14.0665648020464,-18.4681623964879,-23.526327848362,-13.4099969446137
"55-59","Male",22,-18.0631354601958,-21.7437109263929,-14.3825599939987,-19.206361511175,-23.9247922032417,-14.4879308191083,-18.9278773759472,-24.0999481358374,-13.755806616057
"55-59","Male",23,-18.2464007651128,-22.0787291171014,-14.4140724131242,-19.4020516873138,-24.1627538106055,-14.641349564022,-19.1129209527458,-24.3960532827366,-13.8297886227551
"55-59","Male",24,-18.2216854345466,-22.2505859885536,-14.1927848805397,-19.351306639421,-24.1604560332465,-14.5421572455956,-19.036604433163,-24.3641239807249,-13.7090848856012
"55-59","Male",25,-18.0563891524053,-22.2667888948211,-13.8459894099894,-19.1401720661984,-23.9831851137758,-14.2971590186209,-18.7787286399532,-24.0529349661426,-13.5045223137637
"55-59","Male",26,-17.8021843826096,-22.1794957443407,-13.4248730208785,-18.8596610227757,-23.7010896830294,-14.0182323625219,-18.4375288031077,-23.6539923566896,-13.2210652495258
"55-59","Male",27,-17.4765812729885,-22.0209630049797,-12.9321995409974,-18.5361668006599,-23.341647684749,-13.7306859165707,-18.0632504915922,-23.3139140147438,-12.8125869684406
"55-59","Male",28,-17.0583196024904,-21.7843785369159,-12.332260668065,-18.1301087752235,-22.8903440718014,-13.3698734786456,-17.6395133592805,-23.0070252556163,-12.2720014629448
"55-59","Male",29,-16.4963359673265,-21.3946598481232,-11.5980120865298,-17.5761780851426,-22.3389497207989,-12.8134064494863,-17.1021137947744,-22.6028169946362,-11.6014105949126
"55-59","Male",30,-15.7331912530864,-20.7520124806992,-10.7143700254736,-16.8118969722222,-21.6624019494584,-11.961391994986,-16.3852092790123,-21.96739802412,-10.8030205339047
"55-59","Male",31,-14.662653693107,-19.6004894562804,-9.72481792993355,-15.7001767306379,-20.5722160559298,-10.828137405346,-15.3545926930247,-20.8091771001202,-9.90000828592923
"55-59","Male",32,-13.367000616749,-18.2852240199922,-8.44877721350578,-14.3495889276749,-19.2422463829657,-9.45693147238414,-14.0588405976132,-19.3862631239173,-8.73141807130909
"55-59","Male",33,-11.9199851661728,-16.8808237702818,-6.95914656206388,-12.8591208371605,-17.8142360732704,-7.9040056010506,-12.5703112951235,-17.8093576997299,-7.33126489051698
"55-59","Male",34,-10.4400061142757,-15.3850738444059,-5.49493838414557,-11.3874248319177,-16.4423158366838,-6.3325338271516,-11.0613918128395,-16.2049417526836,-5.91784187299545
"55-59","Male",35,-9.10620704263375,-13.8857105632192,-4.32670352204826,-10.0968107637346,-15.199395018941,-4.99422650852809,-9.71845607247428,-14.597890938427,-4.8390212065216
"55-59","Male",36,-8.0635608857037,-12.4723123389315,-3.65480943247591,-9.07438722724074,-14.0718996281113,-4.0768748263702,-8.64956594271605,-13.0567570286069,-4.24237485682521
"55-59","Male",37,-7.34860475545268,-11.2697454729938,-3.42746403791156,-8.32917839153189,-13.051440932521,-3.60691585054276,-7.91565739677984,-11.7522832210507,-4.079031572509
"55-59","Male",38,-6.92080610203704,-10.3785402053655,-3.46307199870858,-7.81879569473004,-12.1403084989113,-3.49728289054882,-7.45840081430041,-10.8226959021878,-4.09410572641299
